#Position (bp)	insert size
3837446.5	224.06837606837607
3848850.5	222.41246290801186
3860254.5	238.2421524663677
3869764.0	237.03991130820398
3875466.0	249.99521531100478
3883062.5	240.69480519480518
3894466.5	234.80469897209986
3905870.5	233.91455696202533
3914922.0	229.86387434554973
3920624.0	225.93115942028984
3928678.5	236.5
3940082.5	241.01744966442953
3951486.5	243.84939759036143
3958498.0	216.62091503267973
3964200.0	232.92115384615386
3974294.5	235.11527777777778
3985698.5	228.44148936170214
3996147.0	224.77169811320755
4001849.0	232.5529411764706
4008506.5	224.93453355155484
4019910.5	205.248417721519
4031314.5	234.96054628224582
4039369.0	230.34177215189874
4045071.0	201.77077363896848
4054122.5	240.7465224111283
4065526.5	240.4306358381503
4076875.5	212.7324840764331
4082577.5	171.0
4088334.5	226.98377581120943
4099738.5	234.93103448275863
4111142.5	227.0
4119434.5	214.26621160409556
4125136.5	227.28643216080403
4133950.5	237.07796610169493
4145354.5	231.9271186440678
4153971.5	223.84126984126985
4159673.5	237.99689440993788
4168162.5	246.778125
4179566.5	241.12857142857143
4186508.0	210.84615384615384
4192210.0	222.5576131687243
4202374.5	238.50474898236092
4212959.0	233.20833333333334
4218661.0	206.125
4225182.5	231.7068493150685
4236586.5	235.01388888888889
4245044.5	233.5993031358885
4250746.5	238.38352272727272
4259394.5	240.4102564102564
4270798.5	233.62145110410094
4276611.5	44.0
4282313.5	239.61409395973155
4293606.5	235.41871165644173
4302261.0	215.9795321637427
4307963.0	227.2814569536424
4316414.5	232.57801418439718
4327270.5	220.01498127340824
4332972.5	236.78787878787878
4339222.5	224.69243697478993
4350108.5	230.17592592592592
4355810.5	200.64150943396226
4362030.5	224.46201550387596
4371971.5	235.7880085653105
4377673.5	234.47727272727272
4384838.5	243.38336052202283
4391628.5	218.34579439252337
4397330.5	237.0054644808743
4405539.5	236.66496163682865
4411241.5	225.46938775510205
4419047.5	221.05072463768116
4424749.5	347.0
4430454.5	234.80336134453782
4438025.5	217.84415584415584
4443727.5	239.83529411764707
4450848.5	228.1304347826087
4456550.5	246.59420289855072
4463561.0	231.30537634408603
4469263.0	258.94017094017096
4476070.5	235.45775729646698
4481811.0	49.5
4486588.5	224.64828897338404
4492252.0	192.16129032258064
4495607.5	221.12627986348122
4501261.5	212.02542372881356
4504532.5	182.0
4507436.0	216.0514705882353
4512498.5	235.53558052434457
4515345.0	230.58620689655172
4516897.5	206.4020618556701
4519260.5	231.60616438356163
4522037.5	212.69150943396227
4524550.5	199.52459016393442
4526562.5	210.78082191780823
4527393.5	0.0
4528157.5	244.2625
4529588.0	221.2171052631579
4530918.0	222.26618705035972
4532182.0	246.525
4533318.0	219.93638676844785
4534369.5	143.0144927536232
4535397.0	214.34272300469485
4536338.0	202.0
4537207.0	212.05405405405406
4538037.0	204.43859649122808
4538612.5	224.36065573770492
4538972.0	153.1818181818182
4539429.5	179.6046511627907
4539981.5	189.87845303867402
4540490.5	183.64705882352942
4540960.5	165.2
4541408.5	170.0
4541830.0	148.8235294117647
4542236.5	154.85
4542630.0	151.31578947368422
4543019.0	179.57142857142858
4543398.5	152.375
4543753.0	133.5
4544088.5	157.46666666666667
4544417.0	189.90625
4544728.0	127.77777777777777
4545024.0	130.52941176470588
4545313.5	140.16666666666666
4545593.0	130.7
4545859.0	125.77777777777777
4546118.0	151.8
4546376.5	135.0
4546634.5	154.25
4546881.0	132.4
4547112.0	114.4
4547339.0	147.16666666666666
4547564.5	114.0
4547788.5	0.0
4548010.0	82.5
4548227.0	167.44444444444446
4548441.5	144.8
4548655.5	107.33333333333333
4548869.0	101.5
4549081.5	120.75
4549290.5	93.85714285714286
4549496.0	133.66666666666666
4549701.0	134.55555555555554
4549905.5	129.5
4550102.0	112.14285714285714
4550203.5	0.0
4550310.0	129.69230769230768
4550507.5	137.85714285714286
4550703.0	94.25
4550896.0	126.83333333333333
4551087.0	103.66666666666667
4551276.5	46.0
4551464.0	126.875
4551649.0	56.0
4551831.0	118.52777777777777
4552008.5	130.25
4552179.0	158.0
4552345.5	81.0
4552508.5	96.25
4552668.5	79.0
4552827.5	96.5
4552985.5	116.83333333333333
4553142.0	97.08695652173913
4553297.0	102.75
4553452.0	131.2
4553607.0	95.46153846153847
4553762.0	125.0
4553917.0	94.0
4554072.0	76.0
4554227.0	111.0
4554382.0	44.0
4554537.0	129.5
4554692.0	97.0
4554847.0	79.5
4555002.0	0.0
4555157.0	152.0
4555312.0	0.0
4555467.0	0.0
4555622.0	83.5
4555777.0	0.0
4555932.0	132.0
4556087.0	89.5
4556242.0	0.0
4556397.0	0.0
4556552.0	0.0
4556707.0	49.0
4556861.5	87.5
4557015.5	131.125
4557169.5	118.25
4557323.5	0.0
4557477.0	0.0
4557630.0	0.0
4557782.5	130.0
4557934.5	93.5
4558086.0	88.0
4558237.0	132.0
4558383.5	103.5
4558521.0	96.75
4558652.5	93.75
4558782.0	84.5
4558911.0	0.0
4559038.0	91.0
4559162.0	119.0
4559284.5	0.0
4559406.0	46.0
4559525.0	0.0
4559641.0	99.5
4559754.5	0.0
4559865.0	106.0
4559973.0	0.0
4560079.0	0.0
4560183.5	63.0
4560285.0	46.0
4560381.0	0.0
4560473.5	0.0
4560562.5	0.0
4560648.0	0.0
4560731.0	0.0
4560811.0	0.0
4560890.0	0.0
4560969.0	51.0
4561048.0	0.0
4561127.0	0.0
4561205.5	0.0
4561283.5	48.0
4561361.5	0.0
4561439.5	0.0
4561517.5	0.0
