#Position (bp)	mapping quality
3837446.5	59.99563910196971
3848850.5	59.99196987515294
3860254.5	59.99388250677127
3869764.0	59.65583772668421
3875466.0	59.92884380867579
3883062.5	59.988258152261906
3894466.5	59.98740485944261
3905870.5	59.990125957339075
3914922.0	59.907524659087485
3920624.0	59.802289883874415
3928678.5	59.991307826199765
3940082.5	59.99221682231282
3951486.5	59.98889063107952
3958498.0	59.94899903549837
3964200.0	59.99293747566292
3974294.5	59.99070765232393
3985698.5	59.99635389332376
3996147.0	57.38320961575651
4001849.0	59.69973803286497
4008506.5	59.99002726503076
4019910.5	59.9941121548751
4031314.5	59.992459103283785
4039369.0	59.97712797217237
4045071.0	59.872376703609845
4054122.5	59.997042155204035
4065526.5	59.91695416184386
4076875.5	59.401069518716575
4082577.5	55.910780669144984
4088334.5	59.995194634786415
4099738.5	59.992259839319765
4111142.5	59.99169982295494
4119434.5	59.13878261787288
4125136.5	59.42545908505155
4133950.5	59.98698193411265
4145354.5	59.98752145166225
4153971.5	59.93979261902107
4159673.5	59.9970234404068
4168162.5	59.993989943091144
4179566.5	59.983255905779
4186508.0	59.952309549061916
4192210.0	59.98676655638797
4202374.5	59.99168230244132
4212959.0	59.97846435721832
4218661.0	59.99151943462898
4225182.5	59.988016424579776
4236586.5	59.987510141863154
4245044.5	59.68637227917614
4250746.5	59.92820112603824
4259394.5	59.988240761998625
4270798.5	59.99446791014092
4276611.5	58.84084636614536
4282313.5	59.960367950481434
4293606.5	59.99336119692289
4302261.0	59.9694060303786
4307963.0	59.92322711756346
4316414.5	59.98943328377304
4327270.5	59.99049536612087
4332972.5	59.99609781477628
4339222.5	59.99287502152061
4350108.5	59.99373206556101
4355810.5	57.951001430615165
4362030.5	59.6921809511783
4371971.5	59.94647766038486
4377673.5	59.83841286763854
4384838.5	59.993932117174694
4391628.5	59.96968099129976
4397330.5	59.83248844276106
4405539.5	59.91581773671326
4411241.5	59.98811980870878
4419047.5	59.99106307159692
4424749.5	60.0
4430454.5	59.99890909799287
4438025.5	59.99318071115441
4443727.5	59.96870362493502
4450848.5	59.99728377263087
4456550.5	59.78282427893971
4463561.0	59.26347119077057
4469263.0	59.383810457058864
4476070.5	59.99737641372301
4481811.0	54.735781137509
4486588.5	59.90464374335342
4492252.0	60.0
4495607.5	59.98039241663465
4501261.5	59.86064224412301
4504532.5	58.275862068965516
4507436.0	59.59984041212868
4512498.5	59.71073613687329
4515345.0	57.29558541266795
4516897.5	59.5854336255479
4519260.5	59.71982023057383
4522037.5	59.838996673438864
4524550.5	59.892606567089715
4526562.5	59.68538625383137
4527393.5	45.714285714285715
4528157.5	59.442260553790284
4529588.0	59.612691776668086
4530918.0	59.82594991258095
4532182.0	59.90842248932329
4533318.0	59.58668105103403
